Skin_Concern,Skin_Type,Skin_Tone,Age,Gender,Recommended_Product
Acne,Combination,Dark,41,Other,Neutrogena Oil-Free Acne Wash
Blackheads,Dry,Fair,55,Other,The Body Shop Tea Tree Cleanser
Inflammation,Combination,Dark,57,Other,The Ordinary Niacinamide 10% + Zinc 1%
Wrinkles,Combination,Fair,36,Other,Olay Regenerist Retinol 24
Inflammation,Dry,Olive,35,Male,The Ordinary Niacinamide 10% + Zinc 1%
Itchy Skin,Sensitive,Dark,45,Female,Eucerin Itch Relief Cream
Wrinkles,Sensitive,Dusky,31,Female,Olay Regenerist Retinol 24
Whiteheads,Sensitive,Dark,44,Other,Paula's Choice BHA Exfoliant
Uneven Skin Tone,Sensitive,Medium,59,Female,L'Oreal Paris Glycolic Bright Serum
Wrinkles,Sensitive,Dusky,31,Female,Olay Regenerist Retinol 24
Oily Skin,Oily,Fair,41,Other,La Roche-Posay Effaclar Gel
Pores,Normal,Dusky,24,Female,Innisfree Super Volcanic Clay Mask
Oily Skin,Sensitive,Fair,43,Other,La Roche-Posay Effaclar Gel
Sagging,Combination,Dark,51,Male,Pond’s Age Miracle Firming Serum
Uneven Skin Tone,Sensitive,Medium,33,Other,L'Oreal Paris Glycolic Bright Serum
Sunburn,Dry,Dusky,21,Male,Aloe Vera Gel
Wrinkles,Oily,Fair,26,Other,Olay Regenerist Retinol 24
Tanning,Normal,Medium,60,Male,Lotus Herbals Safe Sun
Whiteheads,Normal,Fair,33,Male,Paula's Choice BHA Exfoliant
Dryness,Oily,Fair,24,Male,CeraVe Moisturizing Cream
Oily Skin,Sensitive,Dusky,45,Female,La Roche-Posay Effaclar Gel
Tanning,Oily,Dusky,59,Female,Lotus Herbals Safe Sun
Inflammation,Sensitive,Fair,53,Female,The Ordinary Niacinamide 10% + Zinc 1%
Dark Circles,Dry,Olive,19,Male,Mamaearth Under Eye Cream
Oily Skin,Dry,Dusky,36,Other,La Roche-Posay Effaclar Gel
Tanning,Dry,Dusky,46,Other,Lotus Herbals Safe Sun
Acne,Normal,Fair,47,Male,Neutrogena Oil-Free Acne Wash
Inflammation,Dry,Dark,49,Other,The Ordinary Niacinamide 10% + Zinc 1%
Pores,Sensitive,Dusky,28,Female,Innisfree Super Volcanic Clay Mask
Dullness,Dry,Dusky,33,Male,The Ordinary Vitamin C Suspension
Dullness,Sensitive,Fair,27,Female,The Ordinary Vitamin C Suspension
Eczema,Oily,Dusky,58,Female,CeraVe Eczema Relief Creamy Oil
Rosacea,Sensitive,Dark,54,Other,Cetaphil Redness Relief
Dark Circles,Oily,Dark,60,Male,Mamaearth Under Eye Cream
Inflammation,Sensitive,Medium,24,Male,The Ordinary Niacinamide 10% + Zinc 1%
Wrinkles,Normal,Dark,17,Other,Olay Regenerist Retinol 24
Redness,Dry,Medium,35,Other,Aveeno Ultra-Calming Foaming Cleanser
Whiteheads,Combination,Medium,53,Female,Paula's Choice BHA Exfoliant
Pores,Oily,Olive,27,Other,Innisfree Super Volcanic Clay Mask
Acne,Dry,Olive,36,Female,Neutrogena Oil-Free Acne Wash
Eczema,Normal,Fair,24,Other,CeraVe Eczema Relief Creamy Oil
Dullness,Combination,Fair,25,Female,The Ordinary Vitamin C Suspension
Dark Spots,Dry,Dark,60,Male,Minimalist Alpha Arbutin Serum
Rosacea,Normal,Dusky,55,Female,Cetaphil Redness Relief
Wrinkles,Combination,Dark,54,Male,Olay Regenerist Retinol 24
Whiteheads,Combination,Dark,36,Male,Paula's Choice BHA Exfoliant
Pores,Dry,Dark,56,Other,Innisfree Super Volcanic Clay Mask
Pigmentation,Sensitive,Fair,43,Male,Murad Rapid Age Spot Correcting Serum
Tanning,Dry,Medium,59,Other,Lotus Herbals Safe Sun
Dark Circles,Oily,Fair,16,Other,Mamaearth Under Eye Cream
Pigmentation,Normal,Dark,50,Male,Murad Rapid Age Spot Correcting Serum
Redness,Sensitive,Olive,24,Other,Aveeno Ultra-Calming Foaming Cleanser
Whiteheads,Sensitive,Dusky,56,Female,Paula's Choice BHA Exfoliant
Sunburn,Oily,Olive,25,Male,Aloe Vera Gel
Pigmentation,Dry,Fair,24,Other,Murad Rapid Age Spot Correcting Serum
Tanning,Oily,Dark,55,Male,Lotus Herbals Safe Sun
Sunburn,Combination,Olive,29,Male,Aloe Vera Gel
Dark Circles,Dry,Medium,47,Male,Mamaearth Under Eye Cream
Blackheads,Combination,Dusky,24,Female,The Body Shop Tea Tree Cleanser
Oily Skin,Sensitive,Fair,49,Male,La Roche-Posay Effaclar Gel
Tanning,Normal,Fair,32,Other,Lotus Herbals Safe Sun
Inflammation,Normal,Dusky,50,Other,The Ordinary Niacinamide 10% + Zinc 1%
Pigmentation,Dry,Medium,59,Male,Murad Rapid Age Spot Correcting Serum
Dark Circles,Dry,Olive,35,Female,Mamaearth Under Eye Cream
Rosacea,Oily,Olive,53,Other,Cetaphil Redness Relief
Itchy Skin,Oily,Fair,48,Other,Eucerin Itch Relief Cream
Wrinkles,Normal,Dark,28,Male,Olay Regenerist Retinol 24
Wrinkles,Dry,Medium,44,Other,Olay Regenerist Retinol 24
Uneven Skin Tone,Dry,Fair,32,Female,L'Oreal Paris Glycolic Bright Serum
Pores,Combination,Dusky,44,Male,Innisfree Super Volcanic Clay Mask
Dark Circles,Sensitive,Fair,19,Female,Mamaearth Under Eye Cream
Dark Spots,Normal,Olive,47,Female,Minimalist Alpha Arbutin Serum
Whiteheads,Dry,Medium,58,Female,Paula's Choice BHA Exfoliant
Eczema,Sensitive,Medium,18,Male,CeraVe Eczema Relief Creamy Oil
Sagging,Combination,Olive,39,Other,Pond’s Age Miracle Firming Serum
Dryness,Normal,Medium,44,Female,CeraVe Moisturizing Cream
Blackheads,Dry,Fair,19,Female,The Body Shop Tea Tree Cleanser
Acne,Normal,Medium,16,Other,Neutrogena Oil-Free Acne Wash
Itchy Skin,Sensitive,Medium,43,Other,Eucerin Itch Relief Cream
Rosacea,Sensitive,Dusky,48,Female,Cetaphil Redness Relief
Inflammation,Normal,Dark,47,Male,The Ordinary Niacinamide 10% + Zinc 1%
Uneven Skin Tone,Sensitive,Medium,30,Male,L'Oreal Paris Glycolic Bright Serum
Uneven Skin Tone,Dry,Olive,29,Female,L'Oreal Paris Glycolic Bright Serum
Inflammation,Oily,Medium,31,Other,The Ordinary Niacinamide 10% + Zinc 1%
Inflammation,Combination,Fair,36,Female,The Ordinary Niacinamide 10% + Zinc 1%
Eczema,Combination,Dark,40,Male,CeraVe Eczema Relief Creamy Oil
Eczema,Dry,Dark,49,Male,CeraVe Eczema Relief Creamy Oil
Dark Circles,Oily,Dark,54,Other,Mamaearth Under Eye Cream
Rosacea,Dry,Dusky,50,Male,Cetaphil Redness Relief
Inflammation,Normal,Dusky,26,Male,The Ordinary Niacinamide 10% + Zinc 1%
Whiteheads,Dry,Dark,36,Female,Paula's Choice BHA Exfoliant
Wrinkles,Sensitive,Medium,44,Male,Olay Regenerist Retinol 24
Dryness,Oily,Dark,60,Male,CeraVe Moisturizing Cream
Oily Skin,Oily,Dark,36,Other,La Roche-Posay Effaclar Gel
Uneven Skin Tone,Combination,Dark,45,Female,L'Oreal Paris Glycolic Bright Serum
Dullness,Sensitive,Medium,39,Male,The Ordinary Vitamin C Suspension
Dryness,Sensitive,Dark,35,Female,CeraVe Moisturizing Cream
Whiteheads,Normal,Olive,48,Other,Paula's Choice BHA Exfoliant
Dryness,Sensitive,Fair,60,Female,CeraVe Moisturizing Cream
Sagging,Sensitive,Olive,48,Male,Pond’s Age Miracle Firming Serum
Blackheads,Oily,Medium,34,Other,The Body Shop Tea Tree Cleanser
Dark Circles,Dry,Fair,16,Other,Mamaearth Under Eye Cream
Sunburn,Dry,Dusky,23,Other,Aloe Vera Gel
Sagging,Oily,Dusky,36,Other,Pond’s Age Miracle Firming Serum
Acne,Dry,Olive,56,Male,Neutrogena Oil-Free Acne Wash
Dryness,Dry,Olive,16,Male,CeraVe Moisturizing Cream
Pores,Combination,Medium,22,Male,Innisfree Super Volcanic Clay Mask
Itchy Skin,Dry,Fair,25,Other,Eucerin Itch Relief Cream
Inflammation,Combination,Fair,33,Other,The Ordinary Niacinamide 10% + Zinc 1%
Dark Spots,Normal,Fair,55,Other,Minimalist Alpha Arbutin Serum
Sagging,Combination,Olive,52,Female,Pond’s Age Miracle Firming Serum
Blackheads,Dry,Medium,57,Other,The Body Shop Tea Tree Cleanser
Dark Circles,Sensitive,Olive,18,Other,Mamaearth Under Eye Cream
Inflammation,Dry,Olive,31,Other,The Ordinary Niacinamide 10% + Zinc 1%
Inflammation,Normal,Dark,29,Other,The Ordinary Niacinamide 10% + Zinc 1%
Wrinkles,Oily,Dark,27,Male,Olay Regenerist Retinol 24
Whiteheads,Sensitive,Dark,51,Female,Paula's Choice BHA Exfoliant
Sunburn,Oily,Medium,50,Male,Aloe Vera Gel
Rosacea,Normal,Fair,52,Female,Cetaphil Redness Relief
Tanning,Sensitive,Dark,18,Female,Lotus Herbals Safe Sun
Rosacea,Normal,Olive,42,Female,Cetaphil Redness Relief
Whiteheads,Combination,Olive,20,Male,Paula's Choice BHA Exfoliant
Tanning,Combination,Fair,18,Male,Lotus Herbals Safe Sun
Uneven Skin Tone,Combination,Medium,44,Male,L'Oreal Paris Glycolic Bright Serum
Uneven Skin Tone,Combination,Dark,30,Male,L'Oreal Paris Glycolic Bright Serum
Wrinkles,Normal,Fair,49,Female,Olay Regenerist Retinol 24
Dark Circles,Combination,Olive,35,Male,Mamaearth Under Eye Cream
Blackheads,Oily,Medium,26,Other,The Body Shop Tea Tree Cleanser
Sagging,Dry,Dark,60,Female,Pond’s Age Miracle Firming Serum
Pigmentation,Oily,Dusky,26,Female,Murad Rapid Age Spot Correcting Serum
Dark Circles,Dry,Fair,23,Other,Mamaearth Under Eye Cream
Whiteheads,Dry,Dusky,20,Other,Paula's Choice BHA Exfoliant
Rosacea,Sensitive,Medium,50,Male,Cetaphil Redness Relief
Redness,Sensitive,Dark,39,Other,Aveeno Ultra-Calming Foaming Cleanser
Itchy Skin,Dry,Dark,44,Female,Eucerin Itch Relief Cream
Wrinkles,Normal,Olive,60,Female,Olay Regenerist Retinol 24
Redness,Oily,Dusky,28,Other,Aveeno Ultra-Calming Foaming Cleanser
Dullness,Sensitive,Dusky,56,Female,The Ordinary Vitamin C Suspension
Dullness,Oily,Olive,40,Other,The Ordinary Vitamin C Suspension
Blackheads,Combination,Olive,43,Other,The Body Shop Tea Tree Cleanser
Eczema,Normal,Dark,22,Female,CeraVe Eczema Relief Creamy Oil
Dullness,Sensitive,Medium,55,Male,The Ordinary Vitamin C Suspension
Inflammation,Oily,Dark,46,Male,The Ordinary Niacinamide 10% + Zinc 1%
Rosacea,Oily,Dusky,31,Other,Cetaphil Redness Relief
Acne,Normal,Fair,21,Male,Neutrogena Oil-Free Acne Wash
Acne,Oily,Dark,60,Female,Neutrogena Oil-Free Acne Wash
Tanning,Dry,Fair,49,Male,Lotus Herbals Safe Sun
Redness,Dry,Dark,56,Female,Aveeno Ultra-Calming Foaming Cleanser
Oily Skin,Normal,Olive,47,Other,La Roche-Posay Effaclar Gel
Dryness,Dry,Medium,27,Female,CeraVe Moisturizing Cream
Dryness,Normal,Fair,55,Male,CeraVe Moisturizing Cream
Blackheads,Normal,Medium,26,Female,The Body Shop Tea Tree Cleanser
Whiteheads,Combination,Dusky,32,Other,Paula's Choice BHA Exfoliant
Pores,Combination,Dusky,46,Male,Innisfree Super Volcanic Clay Mask
Itchy Skin,Normal,Dark,54,Male,Eucerin Itch Relief Cream
Dullness,Combination,Dark,59,Other,The Ordinary Vitamin C Suspension
Itchy Skin,Oily,Dark,35,Male,Eucerin Itch Relief Cream
Redness,Sensitive,Olive,40,Female,Aveeno Ultra-Calming Foaming Cleanser
Inflammation,Normal,Dusky,24,Male,The Ordinary Niacinamide 10% + Zinc 1%
Rosacea,Oily,Medium,46,Female,Cetaphil Redness Relief
Eczema,Normal,Medium,28,Female,CeraVe Eczema Relief Creamy Oil
Rosacea,Oily,Olive,24,Female,Cetaphil Redness Relief
Eczema,Dry,Fair,50,Female,CeraVe Eczema Relief Creamy Oil
Dark Spots,Sensitive,Olive,17,Other,Minimalist Alpha Arbutin Serum
Oily Skin,Dry,Olive,20,Male,La Roche-Posay Effaclar Gel
Oily Skin,Dry,Dark,29,Female,La Roche-Posay Effaclar Gel
Tanning,Oily,Dusky,43,Female,Lotus Herbals Safe Sun
Oily Skin,Oily,Medium,40,Male,La Roche-Posay Effaclar Gel
Pigmentation,Combination,Fair,54,Male,Murad Rapid Age Spot Correcting Serum
Sunburn,Combination,Dark,24,Other,Aloe Vera Gel
Dullness,Combination,Medium,47,Other,The Ordinary Vitamin C Suspension
Pigmentation,Normal,Medium,48,Female,Murad Rapid Age Spot Correcting Serum
Acne,Oily,Medium,38,Other,Neutrogena Oil-Free Acne Wash
Dark Circles,Oily,Fair,32,Male,Mamaearth Under Eye Cream
Pigmentation,Oily,Olive,20,Other,Murad Rapid Age Spot Correcting Serum
Pigmentation,Normal,Fair,25,Female,Murad Rapid Age Spot Correcting Serum
Sagging,Normal,Dark,58,Female,Pond’s Age Miracle Firming Serum
Redness,Sensitive,Olive,29,Male,Aveeno Ultra-Calming Foaming Cleanser
Sunburn,Oily,Dark,26,Other,Aloe Vera Gel
Whiteheads,Oily,Olive,55,Male,Paula's Choice BHA Exfoliant
Sagging,Combination,Fair,29,Female,Pond’s Age Miracle Firming Serum
Redness,Normal,Dusky,49,Male,Aveeno Ultra-Calming Foaming Cleanser
Dullness,Oily,Olive,40,Female,The Ordinary Vitamin C Suspension
Inflammation,Normal,Fair,51,Female,The Ordinary Niacinamide 10% + Zinc 1%
Uneven Skin Tone,Oily,Olive,25,Male,L'Oreal Paris Glycolic Bright Serum
Dark Spots,Combination,Olive,43,Female,Minimalist Alpha Arbutin Serum
Blackheads,Normal,Dusky,21,Other,The Body Shop Tea Tree Cleanser
Whiteheads,Oily,Dusky,41,Other,Paula's Choice BHA Exfoliant
Dullness,Combination,Olive,29,Other,The Ordinary Vitamin C Suspension
Whiteheads,Oily,Fair,19,Female,Paula's Choice BHA Exfoliant
Pores,Dry,Olive,44,Other,Innisfree Super Volcanic Clay Mask
Eczema,Normal,Dark,26,Male,CeraVe Eczema Relief Creamy Oil
Uneven Skin Tone,Sensitive,Dusky,19,Male,L'Oreal Paris Glycolic Bright Serum
Pigmentation,Combination,Olive,31,Other,Murad Rapid Age Spot Correcting Serum
Wrinkles,Dry,Medium,46,Male,Olay Regenerist Retinol 24
Pores,Combination,Dusky,59,Other,Innisfree Super Volcanic Clay Mask
Pores,Combination,Fair,31,Other,Innisfree Super Volcanic Clay Mask
Acne,Sensitive,Olive,36,Other,Neutrogena Oil-Free Acne Wash
Dark Circles,Combination,Dusky,43,Female,Mamaearth Under Eye Cream
Itchy Skin,Dry,Medium,55,Female,Eucerin Itch Relief Cream
Itchy Skin,Sensitive,Olive,28,Other,Eucerin Itch Relief Cream
Acne,Sensitive,Dusky,21,Female,Neutrogena Oil-Free Acne Wash
Sunburn,Normal,Fair,41,Female,Aloe Vera Gel
Pigmentation,Sensitive,Dark,55,Female,Murad Rapid Age Spot Correcting Serum
Acne,Normal,Olive,18,Female,Neutrogena Oil-Free Acne Wash
Sunburn,Sensitive,Medium,26,Other,Aloe Vera Gel
Wrinkles,Sensitive,Dark,33,Other,Olay Regenerist Retinol 24
Acne,Dry,Dark,20,Female,Neutrogena Oil-Free Acne Wash
Pores,Combination,Dusky,17,Other,Innisfree Super Volcanic Clay Mask
Pigmentation,Normal,Fair,55,Female,Murad Rapid Age Spot Correcting Serum
Rosacea,Combination,Fair,58,Female,Cetaphil Redness Relief
Dark Spots,Combination,Olive,35,Male,Minimalist Alpha Arbutin Serum
Whiteheads,Normal,Medium,24,Other,Paula's Choice BHA Exfoliant
Blackheads,Combination,Dark,18,Other,The Body Shop Tea Tree Cleanser
Dark Circles,Dry,Olive,30,Female,Mamaearth Under Eye Cream
Oily Skin,Oily,Dark,35,Other,La Roche-Posay Effaclar Gel
Rosacea,Dry,Dark,55,Male,Cetaphil Redness Relief
Tanning,Oily,Dusky,50,Female,Lotus Herbals Safe Sun
Rosacea,Oily,Dark,16,Other,Cetaphil Redness Relief
Whiteheads,Dry,Dusky,58,Other,Paula's Choice BHA Exfoliant
Wrinkles,Sensitive,Dusky,54,Male,Olay Regenerist Retinol 24
Oily Skin,Sensitive,Medium,43,Male,La Roche-Posay Effaclar Gel
Dryness,Normal,Dusky,36,Female,CeraVe Moisturizing Cream
Sunburn,Oily,Dusky,44,Other,Aloe Vera Gel
Inflammation,Sensitive,Fair,27,Female,The Ordinary Niacinamide 10% + Zinc 1%
Uneven Skin Tone,Oily,Olive,50,Other,L'Oreal Paris Glycolic Bright Serum
Eczema,Normal,Dark,39,Female,CeraVe Eczema Relief Creamy Oil
Dark Spots,Combination,Medium,46,Other,Minimalist Alpha Arbutin Serum
Eczema,Sensitive,Olive,48,Male,CeraVe Eczema Relief Creamy Oil
Redness,Sensitive,Olive,56,Male,Aveeno Ultra-Calming Foaming Cleanser
Eczema,Sensitive,Dusky,20,Male,CeraVe Eczema Relief Creamy Oil
Inflammation,Normal,Olive,51,Female,The Ordinary Niacinamide 10% + Zinc 1%
Dullness,Combination,Dark,28,Male,The Ordinary Vitamin C Suspension
Oily Skin,Sensitive,Dark,48,Female,La Roche-Posay Effaclar Gel
Dullness,Combination,Dark,34,Female,The Ordinary Vitamin C Suspension
Itchy Skin,Oily,Dark,18,Other,Eucerin Itch Relief Cream
Uneven Skin Tone,Combination,Olive,48,Other,L'Oreal Paris Glycolic Bright Serum
Sunburn,Combination,Olive,39,Female,Aloe Vera Gel
Dullness,Dry,Medium,45,Other,The Ordinary Vitamin C Suspension
Pores,Combination,Fair,20,Other,Innisfree Super Volcanic Clay Mask
Uneven Skin Tone,Sensitive,Dusky,25,Female,L'Oreal Paris Glycolic Bright Serum
Itchy Skin,Oily,Fair,57,Female,Eucerin Itch Relief Cream
Rosacea,Dry,Dark,41,Other,Cetaphil Redness Relief
Inflammation,Normal,Fair,50,Male,The Ordinary Niacinamide 10% + Zinc 1%
Pores,Dry,Dark,53,Male,Innisfree Super Volcanic Clay Mask
Acne,Oily,Olive,36,Female,Neutrogena Oil-Free Acne Wash
Rosacea,Dry,Fair,43,Other,Cetaphil Redness Relief
Whiteheads,Sensitive,Fair,41,Other,Paula's Choice BHA Exfoliant
Rosacea,Combination,Olive,28,Male,Cetaphil Redness Relief
Blackheads,Sensitive,Dusky,37,Other,The Body Shop Tea Tree Cleanser
Tanning,Dry,Olive,49,Male,Lotus Herbals Safe Sun
Blackheads,Dry,Fair,32,Other,The Body Shop Tea Tree Cleanser
Blackheads,Dry,Dusky,34,Other,The Body Shop Tea Tree Cleanser
Uneven Skin Tone,Normal,Medium,48,Other,L'Oreal Paris Glycolic Bright Serum
Pigmentation,Oily,Dark,43,Female,Murad Rapid Age Spot Correcting Serum
Uneven Skin Tone,Dry,Dusky,47,Other,L'Oreal Paris Glycolic Bright Serum
Itchy Skin,Oily,Fair,52,Male,Eucerin Itch Relief Cream
Acne,Dry,Olive,21,Male,Neutrogena Oil-Free Acne Wash
Dryness,Oily,Medium,26,Other,CeraVe Moisturizing Cream
Redness,Sensitive,Dark,21,Female,Aveeno Ultra-Calming Foaming Cleanser
Tanning,Oily,Olive,48,Female,Lotus Herbals Safe Sun
Whiteheads,Combination,Olive,53,Male,Paula's Choice BHA Exfoliant
Rosacea,Dry,Dark,60,Female,Cetaphil Redness Relief
Redness,Combination,Fair,25,Other,Aveeno Ultra-Calming Foaming Cleanser
Eczema,Combination,Medium,38,Male,CeraVe Eczema Relief Creamy Oil
Oily Skin,Dry,Medium,52,Male,La Roche-Posay Effaclar Gel
Pores,Dry,Dusky,28,Female,Innisfree Super Volcanic Clay Mask
Uneven Skin Tone,Normal,Medium,46,Male,L'Oreal Paris Glycolic Bright Serum
Inflammation,Sensitive,Dark,41,Male,The Ordinary Niacinamide 10% + Zinc 1%
Rosacea,Dry,Dusky,24,Other,Cetaphil Redness Relief
Sunburn,Dry,Olive,17,Male,Aloe Vera Gel
Dryness,Sensitive,Fair,23,Female,CeraVe Moisturizing Cream
Itchy Skin,Combination,Dusky,41,Male,Eucerin Itch Relief Cream
Tanning,Dry,Dusky,51,Female,Lotus Herbals Safe Sun
Whiteheads,Normal,Fair,47,Other,Paula's Choice BHA Exfoliant
Uneven Skin Tone,Oily,Dark,51,Male,L'Oreal Paris Glycolic Bright Serum
Wrinkles,Dry,Medium,30,Male,Olay Regenerist Retinol 24
Uneven Skin Tone,Dry,Dusky,54,Female,L'Oreal Paris Glycolic Bright Serum
Rosacea,Dry,Fair,47,Female,Cetaphil Redness Relief
Oily Skin,Oily,Medium,44,Female,La Roche-Posay Effaclar Gel
Wrinkles,Combination,Fair,40,Female,Olay Regenerist Retinol 24
Tanning,Sensitive,Dark,49,Other,Lotus Herbals Safe Sun
Inflammation,Normal,Medium,28,Other,The Ordinary Niacinamide 10% + Zinc 1%
Itchy Skin,Dry,Medium,44,Other,Eucerin Itch Relief Cream
Rosacea,Oily,Medium,49,Female,Cetaphil Redness Relief
Eczema,Sensitive,Medium,39,Female,CeraVe Eczema Relief Creamy Oil
Pores,Oily,Fair,25,Male,Innisfree Super Volcanic Clay Mask
Eczema,Normal,Fair,32,Other,CeraVe Eczema Relief Creamy Oil
Inflammation,Normal,Dusky,24,Female,The Ordinary Niacinamide 10% + Zinc 1%
Sunburn,Combination,Olive,39,Male,Aloe Vera Gel
Acne,Oily,Olive,40,Female,Neutrogena Oil-Free Acne Wash
Whiteheads,Normal,Dark,19,Female,Paula's Choice BHA Exfoliant
Eczema,Combination,Dusky,39,Other,CeraVe Eczema Relief Creamy Oil
Inflammation,Normal,Fair,32,Female,The Ordinary Niacinamide 10% + Zinc 1%
Dark Circles,Oily,Fair,24,Male,Mamaearth Under Eye Cream
Sunburn,Normal,Olive,58,Female,Aloe Vera Gel
Acne,Sensitive,Fair,31,Other,Neutrogena Oil-Free Acne Wash
Redness,Oily,Dusky,24,Male,Aveeno Ultra-Calming Foaming Cleanser
Dark Circles,Oily,Fair,18,Female,Mamaearth Under Eye Cream
Redness,Normal,Dark,54,Female,Aveeno Ultra-Calming Foaming Cleanser
Pores,Dry,Fair,18,Male,Innisfree Super Volcanic Clay Mask
Dark Spots,Combination,Olive,43,Female,Minimalist Alpha Arbutin Serum
Dullness,Dry,Dusky,59,Female,The Ordinary Vitamin C Suspension
Redness,Normal,Dark,25,Male,Aveeno Ultra-Calming Foaming Cleanser
Pigmentation,Normal,Fair,57,Female,Murad Rapid Age Spot Correcting Serum
Whiteheads,Combination,Fair,45,Male,Paula's Choice BHA Exfoliant
Acne,Combination,Dark,47,Male,Neutrogena Oil-Free Acne Wash
Eczema,Dry,Olive,29,Other,CeraVe Eczema Relief Creamy Oil
Redness,Normal,Fair,45,Male,Aveeno Ultra-Calming Foaming Cleanser
Rosacea,Combination,Olive,57,Female,Cetaphil Redness Relief
Dark Circles,Dry,Dusky,49,Other,Mamaearth Under Eye Cream
Sunburn,Normal,Olive,58,Other,Aloe Vera Gel
Uneven Skin Tone,Oily,Dark,39,Other,L'Oreal Paris Glycolic Bright Serum
Dark Circles,Oily,Dusky,45,Female,Mamaearth Under Eye Cream
Acne,Oily,Dusky,49,Male,Neutrogena Oil-Free Acne Wash
Acne,Sensitive,Dark,24,Female,Neutrogena Oil-Free Acne Wash
Blackheads,Dry,Dusky,37,Male,The Body Shop Tea Tree Cleanser
Tanning,Dry,Dark,35,Male,Lotus Herbals Safe Sun
Tanning,Dry,Medium,60,Female,Lotus Herbals Safe Sun
Pigmentation,Dry,Dusky,19,Female,Murad Rapid Age Spot Correcting Serum
Sunburn,Combination,Olive,29,Female,Aloe Vera Gel
Blackheads,Dry,Medium,16,Male,The Body Shop Tea Tree Cleanser
Whiteheads,Sensitive,Dusky,43,Female,Paula's Choice BHA Exfoliant
Pores,Oily,Medium,49,Male,Innisfree Super Volcanic Clay Mask
Eczema,Combination,Dusky,21,Other,CeraVe Eczema Relief Creamy Oil
Uneven Skin Tone,Dry,Fair,29,Other,L'Oreal Paris Glycolic Bright Serum
Sagging,Oily,Fair,23,Other,Pond’s Age Miracle Firming Serum
Acne,Combination,Dusky,29,Male,Neutrogena Oil-Free Acne Wash
Dryness,Combination,Fair,53,Other,CeraVe Moisturizing Cream
Dryness,Normal,Olive,31,Female,CeraVe Moisturizing Cream
Dryness,Normal,Dark,60,Male,CeraVe Moisturizing Cream
Dryness,Normal,Dark,41,Other,CeraVe Moisturizing Cream
Dullness,Normal,Dark,39,Female,The Ordinary Vitamin C Suspension
Dark Spots,Combination,Medium,26,Female,Minimalist Alpha Arbutin Serum
Pigmentation,Sensitive,Dark,40,Other,Murad Rapid Age Spot Correcting Serum
Pores,Sensitive,Dusky,39,Other,Innisfree Super Volcanic Clay Mask
Redness,Combination,Dusky,25,Other,Aveeno Ultra-Calming Foaming Cleanser
Pigmentation,Sensitive,Dark,37,Male,Murad Rapid Age Spot Correcting Serum
Oily Skin,Normal,Medium,25,Female,La Roche-Posay Effaclar Gel
Dark Circles,Sensitive,Dark,35,Other,Mamaearth Under Eye Cream
Whiteheads,Dry,Medium,27,Male,Paula's Choice BHA Exfoliant
Redness,Sensitive,Fair,55,Female,Aveeno Ultra-Calming Foaming Cleanser
Pigmentation,Dry,Olive,22,Female,Murad Rapid Age Spot Correcting Serum
Eczema,Normal,Dark,20,Other,CeraVe Eczema Relief Creamy Oil
Dullness,Dry,Fair,60,Male,The Ordinary Vitamin C Suspension
Uneven Skin Tone,Sensitive,Dark,44,Other,L'Oreal Paris Glycolic Bright Serum
Blackheads,Oily,Medium,32,Male,The Body Shop Tea Tree Cleanser
Dullness,Normal,Medium,49,Female,The Ordinary Vitamin C Suspension
Sunburn,Sensitive,Medium,30,Male,Aloe Vera Gel
Sagging,Combination,Dusky,29,Male,Pond’s Age Miracle Firming Serum
Itchy Skin,Dry,Dusky,46,Female,Eucerin Itch Relief Cream
Redness,Dry,Fair,43,Female,Aveeno Ultra-Calming Foaming Cleanser
Tanning,Combination,Olive,25,Female,Lotus Herbals Safe Sun
Redness,Combination,Dusky,56,Female,Aveeno Ultra-Calming Foaming Cleanser
Eczema,Normal,Fair,38,Other,CeraVe Eczema Relief Creamy Oil
Tanning,Normal,Dark,30,Other,Lotus Herbals Safe Sun
Acne,Dry,Dark,48,Female,Neutrogena Oil-Free Acne Wash
Dark Spots,Oily,Dusky,58,Other,Minimalist Alpha Arbutin Serum
Dullness,Dry,Olive,49,Other,The Ordinary Vitamin C Suspension
Sunburn,Sensitive,Olive,45,Female,Aloe Vera Gel
Wrinkles,Normal,Fair,45,Female,Olay Regenerist Retinol 24
Acne,Combination,Dark,21,Male,Neutrogena Oil-Free Acne Wash
Pores,Combination,Dusky,22,Male,Innisfree Super Volcanic Clay Mask
Sagging,Combination,Olive,56,Other,Pond’s Age Miracle Firming Serum
Wrinkles,Normal,Olive,41,Other,Olay Regenerist Retinol 24
Rosacea,Oily,Fair,39,Other,Cetaphil Redness Relief
Dark Spots,Normal,Fair,20,Female,Minimalist Alpha Arbutin Serum
Oily Skin,Normal,Dark,24,Other,La Roche-Posay Effaclar Gel
Itchy Skin,Oily,Fair,27,Female,Eucerin Itch Relief Cream
Dark Spots,Dry,Fair,38,Female,Minimalist Alpha Arbutin Serum
Pigmentation,Combination,Medium,19,Female,Murad Rapid Age Spot Correcting Serum
Dryness,Combination,Fair,22,Female,CeraVe Moisturizing Cream
Eczema,Sensitive,Dark,55,Male,CeraVe Eczema Relief Creamy Oil
Uneven Skin Tone,Combination,Medium,37,Male,L'Oreal Paris Glycolic Bright Serum
