Skin_Concern,Diet_Type,Foods_to_Eat,Foods_to_Avoid
Uneven Skin Tone,vegen,Hummus,Fried Tofu
Sunburn,combination,Egg Salad,Butter Paneer
Tanning,veg,Carrot,Creamy Curries
Pigmentation,nonveg,Bone Broth,Bacon
Itchy Skin,vegen,Lentils,Agave Syrup
Oily Skin,nonveg,Liver,Fried Fish
Whiteheads,nonveg,Liver,Mutton Curry
Wrinkles,vegen,Tofu,Fried Tofu
Uneven Skin Tone,vegen,Lentils,Packaged Vegan Chips
Blackheads,veg,Turmeric Milk,Cheese
Oily Skin,combination,Avocado Toast with Egg,Excess Cheese
Sunburn,veg,Carrot,Pickles
Sunburn,vegen,Tofu,White Sugar
Dryness,combination,Chicken with Broccoli,Excess Cheese
Whiteheads,veg,Cucumber,Deep-Fried Snacks
Itchy Skin,veg,Broccoli,Deep-Fried Snacks
Wrinkles,veg,Tomato,Cheese
Sunburn,vegen,Oats,Mock Meats
Redness,combination,Fish Curry with Rice,Butter Paneer
Pigmentation,combination,Tofu Stir Fry,Fried Chicken
Rosacea,vegen,Kale,Fried Tofu
Dryness,combination,Mixed Nuts,Instant Noodles
Dark Spots,veg,Cucumber,Refined Sugar
Pigmentation,vegen,Zucchini,Mock Meats
Wrinkles,combination,Fruit Yogurt,Fried Chicken
Pigmentation,vegen,Soy Milk,Refined Oil
Dark Circles,nonveg,Tuna,Fried Fish
Sunburn,nonveg,Liver,Butter Chicken
Inflammation,nonveg,Turkey,Bacon
Redness,veg,Beetroot,Refined Sugar
Blackheads,vegen,Coconut Water,Vegan Mayo
Dullness,veg,Pumpkin Seeds,Creamy Curries
Sagging,veg,Beetroot,Processed Juice
Oily Skin,combination,Fish Curry with Rice,Chips
Oily Skin,combination,Avocado Toast with Egg,Burger
Sagging,vegen,Quinoa,Coconut Cream
Tanning,nonveg,Eggs,Mutton Curry
Pores,combination,Fish Curry with Rice,Fried Chicken
Uneven Skin Tone,vegen,Soy Milk,Agave Syrup
Sunburn,veg,Beetroot,White Bread
Tanning,nonveg,Bone Broth,Mutton Curry
Blackheads,combination,Fish Curry with Rice,Fried Chicken
Itchy Skin,vegen,Chia Seeds,Coconut Cream
Sunburn,combination,Tofu Stir Fry,Excess Cheese
Dullness,vegen,Tofu,Agave Syrup
Dark Spots,combination,Baked Fish with Veggies,Instant Noodles
Redness,combination,Mixed Nuts,Chips
Dryness,vegen,Tofu,Vegan Mayo
Blackheads,veg,Carrot,Refined Sugar
Tanning,combination,Egg Salad,Fried Chicken
Tanning,veg,Sweet Potato,Creamy Curries
Uneven Skin Tone,vegen,Lentils,Coconut Cream
Acne,combination,Greek Yogurt with Berries,Burger
Acne,combination,Greek Yogurt with Berries,Pizza
Wrinkles,veg,Sweet Potato,Deep-Fried Snacks
Redness,vegen,Zucchini,Fried Tofu
Whiteheads,combination,Baked Fish with Veggies,Excess Cheese
Oily Skin,nonveg,Turkey,Butter Chicken
Tanning,vegen,Hummus,Excess Soy
Rosacea,combination,Avocado Toast with Egg,Chips
Blackheads,nonveg,Tuna,Bacon
Itchy Skin,vegen,Lentils,Mock Meats
Redness,nonveg,Tuna,Mayonnaise
Inflammation,nonveg,Eggs,Sausages
Pigmentation,veg,Turmeric Milk,Refined Sugar
Pores,veg,Beetroot,Carbonated Drinks
Sagging,combination,Vegetable Soup,Fried Chicken
Sagging,nonveg,Yogurt,Processed Meat
Dryness,combination,Fish Curry with Rice,Burger
Eczema,combination,Egg Salad,Chips
Acne,combination,Baked Fish with Veggies,Sugary Drinks
Redness,veg,Turmeric Milk,Creamy Curries
Inflammation,vegen,Tofu,Mock Meats
Oily Skin,combination,Mixed Nuts,Cream Biscuits
Sagging,vegen,Oats,Agave Syrup
Rosacea,veg,Turmeric Milk,Deep-Fried Snacks
Uneven Skin Tone,veg,Turmeric Milk,Deep-Fried Snacks
Oily Skin,vegen,Lentils,Fried Tofu
Blackheads,vegen,Hummus,Coconut Cream
Sunburn,vegen,Coconut Water,Vegan Mayo
Pores,vegen,Lentils,Vegan Mayo
Eczema,combination,Mixed Nuts,Butter Paneer
Wrinkles,nonveg,Chicken Breast,Fried Egg
Tanning,combination,Fruit Yogurt,Instant Noodles
Eczema,vegen,Chia Seeds,Agave Syrup
Blackheads,combination,Fish Curry with Rice,Chips
Sagging,combination,Baked Fish with Veggies,Butter Paneer
Sagging,combination,Vegetable Soup,Butter Paneer
Pigmentation,veg,Beetroot,Carbonated Drinks
Dark Spots,combination,Greek Yogurt with Berries,Butter Paneer
Itchy Skin,combination,Avocado Toast with Egg,Burger
Eczema,veg,Sweet Potato,Processed Juice
Dark Spots,vegen,Quinoa,Coconut Cream
Sagging,nonveg,Eggs,Spicy Chicken
Eczema,veg,Carrot,Fried Potato
Uneven Skin Tone,veg,Pumpkin Seeds,Butter
Pores,veg,Cucumber,Carbonated Drinks
Rosacea,combination,Greek Yogurt with Berries,Chips
Dullness,veg,Pumpkin Seeds,Processed Juice
Oily Skin,nonveg,Yogurt,Bacon
Pigmentation,combination,Avocado Toast with Egg,Sugary Drinks
Sagging,veg,Beetroot,Carbonated Drinks
Eczema,nonveg,Tuna,Red Meat
Redness,combination,Vegetable Soup,Ice Cream
Pores,nonveg,Oysters,Fried Egg
Sagging,combination,Tofu Stir Fry,Fried Chicken
Acne,vegen,Tofu,Vegan Mayo
Pigmentation,veg,Turmeric Milk,Pickles
Acne,vegen,Coconut Water,Fried Tofu
Uneven Skin Tone,vegen,Coconut Water,Vegan Mayo
Dark Circles,vegen,Oats,Fried Tofu
Redness,nonveg,Salmon,Fried Egg
Sagging,vegen,Oats,Mock Meats
Dark Spots,nonveg,Liver,Sausages
Redness,veg,Turmeric Milk,Creamy Curries
Inflammation,vegen,Coconut Water,Coconut Cream
Uneven Skin Tone,veg,Carrot,Butter
Whiteheads,combination,Egg Salad,Butter Paneer
Dark Circles,vegen,Tofu,Mock Meats
Acne,veg,Carrot,Creamy Curries
Eczema,nonveg,Eggs,Spicy Chicken
Rosacea,combination,Fish Curry with Rice,Butter Paneer
Dark Spots,nonveg,Oysters,Bacon
Rosacea,nonveg,Salmon,Processed Meat
Eczema,combination,Chicken with Broccoli,Chips
Redness,vegen,Chia Seeds,White Sugar
Itchy Skin,vegen,Quinoa,Excess Soy
Inflammation,vegen,Tofu,Packaged Vegan Chips
Uneven Skin Tone,veg,Turmeric Milk,Deep-Fried Snacks
Itchy Skin,veg,Sweet Potato,Deep-Fried Snacks
Dullness,veg,Cucumber,Cheese
Uneven Skin Tone,nonveg,Prawns,Red Meat
Pores,nonveg,Liver,Processed Meat
Eczema,vegen,Tofu,Agave Syrup
Dark Spots,nonveg,Bone Broth,Processed Meat
Dryness,vegen,Soy Milk,Coconut Cream
Oily Skin,nonveg,Salmon,Sausages
Eczema,vegen,Kale,Overprocessed Vegan Snacks
Oily Skin,nonveg,Prawns,Fried Fish
Uneven Skin Tone,vegen,Coconut Water,Excess Soy
Tanning,vegen,Soy Milk,Overprocessed Vegan Snacks
Sagging,combination,Vegetable Soup,Butter Paneer
Inflammation,nonveg,Chicken Breast,Bacon
Inflammation,nonveg,Yogurt,Fried Fish
Blackheads,vegen,Chia Seeds,Fried Tofu
Blackheads,veg,Almonds,Carbonated Drinks
Inflammation,veg,Sweet Potato,Cheese
Dark Spots,nonveg,Salmon,Sausages
Tanning,combination,Greek Yogurt with Berries,Ice Cream
Redness,veg,Almonds,Creamy Curries
Pigmentation,nonveg,Prawns,Sausages
Redness,combination,Avocado Toast with Egg,Pizza
Rosacea,vegen,Kale,Coconut Cream
Pores,combination,Baked Fish with Veggies,Ice Cream
Uneven Skin Tone,combination,Chicken with Broccoli,Pizza
Uneven Skin Tone,vegen,Kale,Overprocessed Vegan Snacks
Pores,veg,Broccoli,Fried Potato
Pigmentation,combination,Greek Yogurt with Berries,Cream Biscuits
Dark Spots,veg,Carrot,Deep-Fried Snacks
Uneven Skin Tone,combination,Greek Yogurt with Berries,Butter Paneer
Dark Circles,nonveg,Oysters,Mayonnaise
Dark Spots,combination,Mixed Nuts,Butter Paneer
Dark Circles,veg,Sweet Potato,Fried Potato
Dark Circles,combination,Chicken with Broccoli,Pizza
Dullness,veg,Pumpkin Seeds,Fried Potato
Itchy Skin,combination,Tofu Stir Fry,Ice Cream
Wrinkles,vegen,Hummus,Refined Oil
Dark Spots,veg,Almonds,Refined Sugar
Oily Skin,combination,Mixed Nuts,Excess Cheese
Redness,veg,Tomato,Butter
Acne,combination,Baked Fish with Veggies,Chips
Dryness,veg,Carrot,Butter
Uneven Skin Tone,combination,Egg Salad,Fried Chicken
Inflammation,nonveg,Eggs,Mayonnaise
Acne,vegen,Zucchini,Mock Meats
Dryness,vegen,Lentils,Mock Meats
Dullness,nonveg,Oysters,Sausages
Pores,veg,Tomato,Pickles
Sunburn,nonveg,Liver,Bacon
Sagging,nonveg,Eggs,Bacon
Pores,combination,Greek Yogurt with Berries,Burger
Sagging,veg,Sweet Potato,Carbonated Drinks
Blackheads,combination,Chicken with Broccoli,Instant Noodles
Pigmentation,combination,Fruit Yogurt,Cream Biscuits
Redness,vegen,Oats,Mock Meats
Dryness,veg,Carrot,Butter
Pores,nonveg,Bone Broth,Butter Chicken
Acne,combination,Greek Yogurt with Berries,Fried Chicken
Redness,vegen,Tofu,Coconut Cream
Wrinkles,combination,Egg Salad,Cream Biscuits
Rosacea,veg,Cucumber,Fried Potato
Inflammation,vegen,Oats,White Sugar
Sagging,veg,Turmeric Milk,Deep-Fried Snacks
Wrinkles,vegen,Hummus,Vegan Mayo
Tanning,veg,Tomato,Fried Potato
Blackheads,combination,Avocado Toast with Egg,Cream Biscuits
Wrinkles,nonveg,Prawns,Fried Fish
Pores,veg,Spinach,Pickles
Whiteheads,combination,Fruit Yogurt,Excess Cheese
Rosacea,nonveg,Oysters,Mayonnaise
Blackheads,veg,Beetroot,Cheese
Blackheads,vegen,Chia Seeds,Overprocessed Vegan Snacks
Itchy Skin,vegen,Zucchini,Vegan Mayo
Itchy Skin,vegen,Tofu,Overprocessed Vegan Snacks
Inflammation,combination,Baked Fish with Veggies,Cream Biscuits
Dullness,vegen,Lentils,Coconut Cream
Dryness,veg,Turmeric Milk,Deep-Fried Snacks
Eczema,vegen,Chia Seeds,Fried Tofu
Blackheads,nonveg,Chicken Breast,Processed Meat
Sagging,veg,Almonds,Fried Potato
Whiteheads,nonveg,Liver,Fried Fish
Whiteheads,combination,Baked Fish with Veggies,Burger
Redness,combination,Egg Salad,Instant Noodles
Whiteheads,veg,Pumpkin Seeds,White Bread
Redness,combination,Fruit Yogurt,Chips
Dark Spots,nonveg,Bone Broth,Sausages
Eczema,combination,Mixed Nuts,Instant Noodles
Oily Skin,veg,Tomato,Creamy Curries
Tanning,veg,Broccoli,Processed Juice
Dark Spots,vegen,Hummus,Overprocessed Vegan Snacks
Acne,nonveg,Prawns,Mutton Curry
Itchy Skin,nonveg,Bone Broth,Sausages
Uneven Skin Tone,nonveg,Yogurt,Spicy Chicken
Sagging,vegen,Soy Milk,Fried Tofu
Dullness,veg,Broccoli,Pickles
Whiteheads,combination,Egg Salad,Sugary Drinks
Redness,veg,Tomato,Cheese
Sunburn,combination,Fish Curry with Rice,Chips
Pores,combination,Avocado Toast with Egg,Burger
Tanning,nonveg,Eggs,Sausages
Dark Circles,veg,Tomato,Deep-Fried Snacks
Whiteheads,veg,Pumpkin Seeds,Cheese
Oily Skin,veg,Turmeric Milk,Cheese
Whiteheads,nonveg,Oysters,Spicy Chicken
Sagging,combination,Egg Salad,Chips
Rosacea,veg,Sweet Potato,Butter
Dark Spots,nonveg,Salmon,Mayonnaise
Pigmentation,vegen,Chia Seeds,Overprocessed Vegan Snacks
Rosacea,nonveg,Tuna,Bacon
Dryness,nonveg,Bone Broth,Mutton Curry
Sagging,veg,Tomato,White Bread
Redness,vegen,Tofu,Fried Tofu
Blackheads,nonveg,Eggs,Sausages
Dark Circles,vegen,Kale,Agave Syrup
Itchy Skin,combination,Avocado Toast with Egg,Cream Biscuits
Uneven Skin Tone,veg,Turmeric Milk,Butter
Rosacea,vegen,Kale,Packaged Vegan Chips
Inflammation,nonveg,Bone Broth,Bacon
Whiteheads,nonveg,Chicken Breast,Mutton Curry
Redness,vegen,Quinoa,Fried Tofu
Pigmentation,vegen,Hummus,Vegan Mayo
Whiteheads,veg,Pumpkin Seeds,Carbonated Drinks
Rosacea,vegen,Kale,Vegan Mayo
Sunburn,nonveg,Salmon,Mutton Curry
Oily Skin,vegen,Chia Seeds,Excess Soy
Wrinkles,vegen,Kale,Mock Meats
Acne,combination,Vegetable Soup,Instant Noodles
Dryness,nonveg,Prawns,Butter Chicken
Blackheads,nonveg,Tuna,Fried Fish
Uneven Skin Tone,veg,Sweet Potato,Fried Potato
Wrinkles,vegen,Hummus,Packaged Vegan Chips
Tanning,veg,Beetroot,Carbonated Drinks
Redness,nonveg,Prawns,Red Meat
Wrinkles,nonveg,Prawns,Butter Chicken
Eczema,combination,Vegetable Soup,Burger
Wrinkles,combination,Fruit Yogurt,Ice Cream
Inflammation,vegen,Coconut Water,White Sugar
Pores,vegen,Oats,Packaged Vegan Chips
Oily Skin,combination,Tofu Stir Fry,Burger
Acne,vegen,Hummus,Refined Oil
Dark Spots,vegen,Tofu,Excess Soy
Rosacea,combination,Egg Salad,Instant Noodles
Rosacea,veg,Beetroot,Pickles
Pigmentation,nonveg,Yogurt,Mayonnaise
Tanning,nonveg,Eggs,Processed Meat
Wrinkles,nonveg,Liver,Fried Fish
Blackheads,combination,Egg Salad,Excess Cheese
Dark Circles,veg,Carrot,Deep-Fried Snacks
Dullness,veg,Spinach,Cheese
Sagging,vegen,Soy Milk,Agave Syrup
Dark Circles,veg,Carrot,Processed Juice
Eczema,vegen,Quinoa,Overprocessed Vegan Snacks
Redness,vegen,Hummus,Coconut Cream
Dryness,nonveg,Liver,Butter Chicken
Oily Skin,vegen,Coconut Water,Overprocessed Vegan Snacks
Wrinkles,combination,Egg Salad,Butter Paneer
Blackheads,vegen,Oats,Refined Oil
Dark Spots,vegen,Chia Seeds,Packaged Vegan Chips
Sunburn,veg,Tomato,Processed Juice
Acne,nonveg,Salmon,Red Meat
Uneven Skin Tone,vegen,Tofu,Agave Syrup
Dryness,vegen,Soy Milk,Overprocessed Vegan Snacks
Dullness,vegen,Lentils,Vegan Mayo
Uneven Skin Tone,vegen,Zucchini,Vegan Mayo
Tanning,nonveg,Chicken Breast,Mutton Curry
Pigmentation,vegen,Oats,Vegan Mayo
Wrinkles,combination,Fish Curry with Rice,Sugary Drinks
Eczema,nonveg,Eggs,Spicy Chicken
Inflammation,vegen,Tofu,Coconut Cream
Whiteheads,veg,Spinach,Butter
Inflammation,nonveg,Prawns,Bacon
Sagging,combination,Fruit Yogurt,Ice Cream
Oily Skin,vegen,Lentils,Coconut Cream
Eczema,combination,Baked Fish with Veggies,Fried Chicken
Dryness,veg,Cucumber,Processed Juice
Pigmentation,combination,Avocado Toast with Egg,Ice Cream
Rosacea,vegen,Zucchini,Vegan Mayo
Blackheads,vegen,Quinoa,Coconut Cream
Pores,veg,Broccoli,Cheese
Tanning,nonveg,Prawns,Mayonnaise
Pores,veg,Carrot,Creamy Curries
Itchy Skin,veg,Turmeric Milk,Processed Juice
Dryness,nonveg,Chicken Breast,Mayonnaise
Dark Circles,veg,Spinach,Carbonated Drinks
Pores,veg,Broccoli,Carbonated Drinks
Sunburn,nonveg,Chicken Breast,Processed Meat
Redness,vegen,Lentils,Refined Oil
Wrinkles,veg,Spinach,Butter
Rosacea,veg,Spinach,Processed Juice
Sunburn,nonveg,Oysters,Spicy Chicken
Acne,vegen,Tofu,Overprocessed Vegan Snacks
Rosacea,veg,Turmeric Milk,Carbonated Drinks
Oily Skin,vegen,Lentils,Overprocessed Vegan Snacks
Rosacea,vegen,Oats,Excess Soy
Wrinkles,vegen,Chia Seeds,Packaged Vegan Chips
Dryness,nonveg,Tuna,Fried Fish
Acne,veg,Cucumber,Refined Sugar
Itchy Skin,veg,Turmeric Milk,Processed Juice
Dullness,combination,Baked Fish with Veggies,Instant Noodles
Dryness,combination,Chicken with Broccoli,Cream Biscuits
Inflammation,combination,Egg Salad,Fried Chicken
Oily Skin,veg,Carrot,Cheese
Redness,vegen,Oats,Coconut Cream
Pigmentation,vegen,Oats,Coconut Cream
Eczema,combination,Chicken with Broccoli,Butter Paneer
Redness,nonveg,Oysters,Spicy Chicken
Whiteheads,veg,Tomato,Fried Potato
Dark Circles,nonveg,Prawns,Sausages
Sagging,veg,Carrot,Pickles
Redness,combination,Avocado Toast with Egg,Pizza
Pigmentation,combination,Tofu Stir Fry,Sugary Drinks
Sunburn,combination,Baked Fish with Veggies,Butter Paneer
Itchy Skin,combination,Chicken with Broccoli,Instant Noodles
Inflammation,veg,Pumpkin Seeds,Creamy Curries
Oily Skin,vegen,Quinoa,Excess Soy
Dark Circles,nonveg,Turkey,Fried Egg
Eczema,vegen,Quinoa,Overprocessed Vegan Snacks
Rosacea,veg,Pumpkin Seeds,Deep-Fried Snacks
Itchy Skin,veg,Almonds,Deep-Fried Snacks
Blackheads,veg,Cucumber,Refined Sugar
Uneven Skin Tone,veg,Spinach,Refined Sugar
Whiteheads,nonveg,Yogurt,Fried Fish
Pigmentation,combination,Greek Yogurt with Berries,Instant Noodles
Pores,combination,Avocado Toast with Egg,Butter Paneer
Sunburn,veg,Tomato,Creamy Curries
Oily Skin,vegen,Lentils,White Sugar
Inflammation,veg,Almonds,Pickles
Eczema,combination,Fruit Yogurt,Chips
Dryness,combination,Baked Fish with Veggies,Pizza
Sunburn,combination,Egg Salad,Burger
Oily Skin,vegen,Hummus,White Sugar
Itchy Skin,veg,Almonds,Refined Sugar
Sunburn,veg,Spinach,Refined Sugar
Dark Circles,vegen,Oats,Vegan Mayo
Blackheads,veg,Sweet Potato,Refined Sugar
Itchy Skin,nonveg,Salmon,Mutton Curry
Uneven Skin Tone,vegen,Zucchini,Agave Syrup
Pores,vegen,Lentils,Refined Oil
Acne,veg,Turmeric Milk,Refined Sugar
Uneven Skin Tone,combination,Fish Curry with Rice,Excess Cheese
Dryness,vegen,Coconut Water,Overprocessed Vegan Snacks
Dullness,veg,Spinach,Pickles
Whiteheads,nonveg,Yogurt,Spicy Chicken
Dullness,veg,Spinach,Butter
Sagging,combination,Fruit Yogurt,Excess Cheese
Redness,nonveg,Yogurt,Butter Chicken
Dark Circles,nonveg,Tuna,Red Meat
Redness,combination,Fish Curry with Rice,Burger
Oily Skin,vegen,Coconut Water,Packaged Vegan Chips
Rosacea,veg,Tomato,Deep-Fried Snacks
Eczema,combination,Chicken with Broccoli,Chips
Eczema,nonveg,Tuna,Bacon
Redness,vegen,Quinoa,Overprocessed Vegan Snacks
Oily Skin,vegen,Lentils,Agave Syrup
Whiteheads,combination,Vegetable Soup,Ice Cream
Wrinkles,vegen,Lentils,Mock Meats
Uneven Skin Tone,veg,Almonds,Fried Potato
Uneven Skin Tone,combination,Chicken with Broccoli,Burger
Sunburn,vegen,Chia Seeds,Excess Soy
Dullness,vegen,Oats,White Sugar
Acne,vegen,Coconut Water,Mock Meats
Dryness,vegen,Coconut Water,Agave Syrup
Inflammation,combination,Baked Fish with Veggies,Excess Cheese
Dryness,veg,Sweet Potato,Deep-Fried Snacks
Blackheads,veg,Broccoli,Refined Sugar
Uneven Skin Tone,combination,Fruit Yogurt,Butter Paneer
Dullness,vegen,Oats,Excess Soy
Whiteheads,nonveg,Oysters,Fried Egg
Sagging,nonveg,Liver,Fried Egg
Sagging,veg,Spinach,Pickles
Dark Spots,combination,Fish Curry with Rice,Chips
Blackheads,veg,Cucumber,Cheese
Dryness,combination,Egg Salad,Cream Biscuits
Sunburn,vegen,Soy Milk,White Sugar
Wrinkles,combination,Tofu Stir Fry,Excess Cheese
Tanning,vegen,Lentils,Refined Oil
Eczema,combination,Fish Curry with Rice,Cream Biscuits
Acne,combination,Mixed Nuts,Pizza
Eczema,combination,Baked Fish with Veggies,Cream Biscuits
Dark Circles,veg,Sweet Potato,Butter
Itchy Skin,nonveg,Liver,Sausages
Dark Spots,veg,Almonds,Carbonated Drinks
Eczema,nonveg,Yogurt,Fried Fish
Redness,veg,Spinach,Processed Juice
Pores,combination,Egg Salad,Excess Cheese
Pigmentation,vegen,Coconut Water,Mock Meats
Acne,veg,Almonds,Deep-Fried Snacks
Sunburn,veg,Spinach,White Bread
Wrinkles,vegen,Zucchini,Coconut Cream
Eczema,nonveg,Prawns,Spicy Chicken
Pigmentation,nonveg,Tuna,Fried Fish
Pigmentation,combination,Avocado Toast with Egg,Butter Paneer
Sagging,nonveg,Oysters,Red Meat
Sunburn,combination,Avocado Toast with Egg,Burger
Redness,nonveg,Turkey,Fried Fish
Whiteheads,veg,Tomato,Butter
Pigmentation,vegen,Kale,Excess Soy
Dark Circles,nonveg,Oysters,Mayonnaise
Blackheads,vegen,Lentils,Overprocessed Vegan Snacks
Wrinkles,combination,Fish Curry with Rice,Pizza
Eczema,combination,Fish Curry with Rice,Pizza
Itchy Skin,nonveg,Turkey,Bacon
Wrinkles,combination,Greek Yogurt with Berries,Butter Paneer
Oily Skin,combination,Fish Curry with Rice,Chips
Dryness,combination,Tofu Stir Fry,Sugary Drinks
Uneven Skin Tone,nonveg,Salmon,Fried Egg
Pores,combination,Greek Yogurt with Berries,Butter Paneer
Sagging,nonveg,Liver,Bacon
Pigmentation,vegen,Oats,Fried Tofu
Inflammation,combination,Baked Fish with Veggies,Sugary Drinks
Blackheads,veg,Almonds,Refined Sugar
Dark Circles,nonveg,Chicken Breast,Mutton Curry
Uneven Skin Tone,veg,Spinach,Refined Sugar
Blackheads,nonveg,Salmon,Fried Fish
Acne,vegen,Quinoa,Excess Soy
Pores,veg,Beetroot,Butter
Rosacea,combination,Greek Yogurt with Berries,Instant Noodles
Wrinkles,nonveg,Tuna,Spicy Chicken
Dark Circles,nonveg,Tuna,Spicy Chicken
Dryness,vegen,Oats,Vegan Mayo
Uneven Skin Tone,vegen,Soy Milk,Mock Meats
Dullness,nonveg,Bone Broth,Fried Fish
Blackheads,vegen,Soy Milk,Vegan Mayo
Pores,vegen,Coconut Water,Excess Soy
Sagging,nonveg,Chicken Breast,Mutton Curry
Wrinkles,vegen,Coconut Water,Overprocessed Vegan Snacks
Dark Circles,vegen,Soy Milk,Vegan Mayo
Acne,nonveg,Turkey,Fried Fish
Pores,veg,Turmeric Milk,Carbonated Drinks
Oily Skin,vegen,Coconut Water,Packaged Vegan Chips
Whiteheads,nonveg,Prawns,Red Meat
Sunburn,vegen,Lentils,Fried Tofu
Blackheads,veg,Spinach,Carbonated Drinks
Sunburn,vegen,Soy Milk,Packaged Vegan Chips
Inflammation,combination,Avocado Toast with Egg,Sugary Drinks
Dullness,combination,Mixed Nuts,Instant Noodles
Acne,vegen,Kale,Refined Oil
Acne,combination,Vegetable Soup,Chips
Uneven Skin Tone,nonveg,Tuna,Bacon
Tanning,veg,Spinach,Deep-Fried Snacks
Acne,nonveg,Bone Broth,Mutton Curry
Dark Spots,combination,Egg Salad,Sugary Drinks
Tanning,combination,Baked Fish with Veggies,Butter Paneer
Inflammation,nonveg,Oysters,Butter Chicken
Sagging,combination,Vegetable Soup,Butter Paneer
Oily Skin,combination,Avocado Toast with Egg,Instant Noodles
Wrinkles,combination,Vegetable Soup,Ice Cream
Dryness,vegen,Soy Milk,Agave Syrup
Redness,vegen,Kale,Refined Oil
Rosacea,nonveg,Tuna,Fried Fish
Wrinkles,veg,Almonds,Refined Sugar
Wrinkles,combination,Mixed Nuts,Ice Cream
Acne,nonveg,Turkey,Mutton Curry
Wrinkles,nonveg,Yogurt,Red Meat
Blackheads,vegen,Kale,Mock Meats
Oily Skin,vegen,Soy Milk,Excess Soy
Sagging,nonveg,Salmon,Sausages
Wrinkles,nonveg,Salmon,Red Meat
Dullness,combination,Greek Yogurt with Berries,Sugary Drinks
Dryness,vegen,Tofu,White Sugar
Rosacea,nonveg,Yogurt,Mayonnaise
Dullness,nonveg,Yogurt,Sausages
Tanning,combination,Baked Fish with Veggies,Ice Cream
Dark Circles,combination,Mixed Nuts,Pizza
Redness,combination,Fish Curry with Rice,Cream Biscuits
Eczema,veg,Pumpkin Seeds,Carbonated Drinks
Rosacea,vegen,Zucchini,White Sugar
Dark Circles,veg,Cucumber,White Bread
Dryness,combination,Baked Fish with Veggies,Fried Chicken
Eczema,veg,Tomato,Cheese
Uneven Skin Tone,veg,Sweet Potato,Refined Sugar
Inflammation,vegen,Coconut Water,Packaged Vegan Chips
Whiteheads,combination,Avocado Toast with Egg,Chips
Itchy Skin,veg,Cucumber,Butter
Dullness,nonveg,Salmon,Processed Meat
Whiteheads,veg,Pumpkin Seeds,Refined Sugar
Pores,combination,Avocado Toast with Egg,Butter Paneer
Whiteheads,veg,Turmeric Milk,White Bread
Dryness,veg,Almonds,Creamy Curries
Uneven Skin Tone,nonveg,Salmon,Red Meat
Oily Skin,nonveg,Yogurt,Fried Fish
Dullness,veg,Pumpkin Seeds,Deep-Fried Snacks
Dryness,vegen,Kale,Refined Oil
Inflammation,veg,Broccoli,Butter
Redness,combination,Fruit Yogurt,Fried Chicken
Whiteheads,veg,Carrot,Fried Potato
Dryness,combination,Egg Salad,Pizza
Dullness,vegen,Lentils,Coconut Cream
Whiteheads,vegen,Hummus,Vegan Mayo
Sunburn,combination,Greek Yogurt with Berries,Butter Paneer
Pores,nonveg,Oysters,Sausages
Acne,combination,Greek Yogurt with Berries,Cream Biscuits
Eczema,nonveg,Yogurt,Sausages
Redness,nonveg,Oysters,Mayonnaise
Redness,veg,Spinach,Carbonated Drinks
Dark Spots,veg,Cucumber,Processed Juice
Uneven Skin Tone,veg,Spinach,Deep-Fried Snacks
Wrinkles,nonveg,Chicken Breast,Sausages
Pores,nonveg,Oysters,Red Meat
Tanning,veg,Pumpkin Seeds,Processed Juice
Uneven Skin Tone,veg,Broccoli,Carbonated Drinks
Wrinkles,combination,Egg Salad,Butter Paneer
Oily Skin,vegen,Lentils,White Sugar
Redness,combination,Baked Fish with Veggies,Butter Paneer
Rosacea,nonveg,Chicken Breast,Red Meat
Blackheads,nonveg,Tuna,Fried Fish
Inflammation,vegen,Hummus,Fried Tofu
Dryness,nonveg,Oysters,Bacon
Rosacea,veg,Almonds,Deep-Fried Snacks
Whiteheads,combination,Fruit Yogurt,Excess Cheese
Inflammation,vegen,Lentils,Coconut Cream
Dark Spots,nonveg,Yogurt,Bacon
Oily Skin,nonveg,Eggs,Butter Chicken
Oily Skin,veg,Tomato,Creamy Curries
Dark Circles,combination,Fruit Yogurt,Butter Paneer
Eczema,nonveg,Bone Broth,Mayonnaise
Uneven Skin Tone,veg,Broccoli,Butter
Dark Spots,combination,Egg Salad,Pizza
Inflammation,combination,Avocado Toast with Egg,Chips
Tanning,combination,Avocado Toast with Egg,Ice Cream
Inflammation,nonveg,Yogurt,Butter Chicken
Dark Spots,vegen,Coconut Water,Refined Oil
Sagging,nonveg,Turkey,Sausages
Sagging,vegen,Lentils,Mock Meats
Sagging,nonveg,Turkey,Butter Chicken
Dryness,combination,Vegetable Soup,Instant Noodles
Dark Circles,combination,Chicken with Broccoli,Cream Biscuits
Wrinkles,vegen,Chia Seeds,Agave Syrup
Dark Circles,vegen,Lentils,Fried Tofu
Redness,vegen,Hummus,Agave Syrup
Rosacea,veg,Turmeric Milk,Refined Sugar
Inflammation,veg,Turmeric Milk,Carbonated Drinks
Pores,nonveg,Liver,Bacon
Dark Circles,combination,Tofu Stir Fry,Cream Biscuits
Sunburn,veg,Cucumber,Pickles
Inflammation,vegen,Soy Milk,Vegan Mayo
Pores,vegen,Kale,Coconut Cream
Inflammation,veg,Carrot,Cheese
Redness,nonveg,Bone Broth,Sausages
Sagging,veg,Broccoli,Butter
